query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_title (season_nr = last))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 0]",300000.0,0.0,67.3134,1.9955,299932.6866,4456.765916,5,"300000.00,300000.00,300000.00,300000.00,300000.00","69.98,66.18,68.91,65.90,65.59","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (episode_nr = last))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 16, 12, 20, 12, 16, 12, 6, 12, 20, 12, 6, 12, 6, 12, 3, 12, 17, 12, 6, 12, 3, 12, 6, 12, 14, 12, 3, 12, 19]",300000.0,0.0,112.5271,6.3537,299887.4729,2666.024822,5,"300000.00,300000.00,300000.00,300000.00,300000.00","112.78,116.14,101.61,114.60,117.51","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(complete_cast )(link_type )(movie_companies )(movie_info )(movie_info_idx )(role_type )(title ),"[1, 1, 12, 1, 1, 14, 14, 14, 14, 0, 14, 1, 14, 12, 12, 12, 12, 12, 12, 12, 12, 9, 9, 0, 4, 4, 4, 9, 4, 10, 10, 10, 10, 20, 14, 7, 11, 0, 10, 11, 4, 11, 11, 0]",300000.0,0.0,128.9304,2.2834,299871.0696,2326.837203,5,"300000.00,300000.00,300000.00,300000.00,300000.00","129.46,132.32,129.24,126.95,126.68","error,complete,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = last))(company_type )(complete_cast )(info_type )(keyword )(movie_info )(movie_link )(person_info )(role_type )(title ),"[20, 7, 12, 20, 12, 2, 12, 1, 12, 10, 12, 6, 12, 3, 12, 17, 12, 17, 12, 18, 12, 13, 12, 6, 12, 0, 12, 15, 12, 5]",300000.0,0.0,4250.2398,2016.3743,295749.7602,70.584253,5,"300000.00,300000.00,300000.00,300000.00,300000.00","3283.00,3387.80,3313.13,3411.25,7856.02","error,error,error,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(complete_cast )(info_type )(link_type )(movie_info )(role_type )(title ),"[14, 7, 14, 9, 14, 20, 14, 11]",300000.0,0.0,7727.9043,83.7615,292272.0957,38.820356,5,"300000.00,300000.00,300000.00,300000.00,300000.00","7706.48,7650.71,7805.05,7826.57,7650.71","complete,error,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_name )(complete_cast )(keyword )(kind_type )(movie_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 13, 12, 4, 12, 6, 12, 8, 12, 9, 1, 17]",228676.068,100598.7595,1923.6526,29.817,226752.4154,118.875972,5,"300000.00,300000.00,155801.51,300000.00,87578.83","1952.91,1877.20,1939.03,1912.22,1936.90","error,error,complete,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(complete_cast )(keyword )(link_type )(movie_info )(movie_info_idx )(role_type )(title ),"[10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",195143.2231,58761.1094,96.5094,2.6799,195046.7137,2022.012416,5,"172311.86,300000.00,170825.42,161883.89,170694.95","95.22,96.72,94.89,101.08,94.64","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_name )(kind_type (kind random))(movie_companies )(movie_info )(movie_link )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 2, 12, 3, 12, 17, 12, 13, 12, 4, 12, 6, 12, 3, 12, 9, 12, 10]",191697.7024,148405.3862,22780.4286,271.9178,168917.2738,8.415017,5,"300000.00,21299.85,37188.66,300000.00,300000.00","23031.35,22529.06,23087.37,22746.40,22507.96","error,complete,complete,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (production_year = 0792))(complete_cast )(link_type )(movie_info )(role_type )(title ),"[20, 7, 1, 16, 20, 12, 1, 20, 1, 10, 1, 14, 1, 16, 20, 17, 1, 12, 1, 17, 1, 11, 1, 6, 1, 19, 1, 0, 1, 14, 1, 8]",158674.9701,25510.614,5416.5914,271.1829,153258.3787,29.294248,5,"142513.19,150084.08,146582.06,203959.65,150235.87","5521.45,5253.31,5195.74,5846.69,5265.77","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_type (kind most_popular))(complete_cast )(keyword )(movie_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",110246.7178,100528.706,1292.6019,15.3365,108954.1159,85.290542,5,"182340.50,129.83,185458.89,183173.92,130.45","1274.14,1286.28,1303.69,1312.55,1286.34","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(company_type )(info_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 20]",107483.2833,108196.4486,10340.3576,224.3282,97142.9257,10.394542,5,"50929.93,77417.58,300000.00,49347.24,59721.66","10306.95,10067.89,10598.03,10193.60,10535.32","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_name )(company_type (kind random))(movie_keyword )(movie_link )(name )(title ),"[7, 1, 7, 10, 7, 17, 12, 18, 12, 1, 12, 6, 12, 11, 12, 7, 12, 12, 7, 15, 12, 7, 12, 13, 7, 15, 7, 2, 7, 9]",118332.3865,97474.6854,22260.3165,237.8399,96072.0701,5.315845,5,"14115.93,14185.63,169136.62,171576.10,222647.66","22100.59,21928.97,22372.02,22507.12,22392.88","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0298))(company_type )(movie_info )(movie_info_idx )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",92461.2582,116023.7252,1431.5491,159.5372,91029.7091,64.588254,5,"39700.35,300000.00,41377.13,42062.86,39165.95","1148.61,1473.12,1506.95,1497.70,1531.37","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0618))(company_type )(info_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 20]",99719.0173,112146.7915,10328.1795,154.2132,89390.8379,9.655043,5,"60228.00,300000.00,43469.43,49351.13,45546.52","10390.35,10450.08,10110.19,10464.10,10226.17","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[20, 8, 20, 0]",86306.1314,119494.7942,149.9198,9.2161,86156.2116,575.682023,5,"37913.45,30664.57,30975.24,300000.00,31977.40","156.64,146.13,145.35,162.09,139.38","complete,complete,complete,error,complete","complete,complete,complete,complete,complete",True,False
(company_type (kind random))(movie_keyword )(movie_link )(role_type )(title ),"[20, 7, 12, 2, 12, 20, 12, 16, 12, 1, 12, 6, 12, 11, 12, 17, 12, 18, 12, 4, 12, 13, 12, 0, 12, 15, 12, 9, 12, 5]",112076.9636,2645.4395,27065.3166,443.9203,85011.647,4.140981,5,"112514.82,109302.23,115648.91,113273.41,109645.45","27061.76,27232.27,26529.31,27700.87,26802.37","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name most_popular))(kind_type )(movie_info )(movie_link )(name )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 6, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",88907.7125,4929.6922,10832.9545,104.7996,78074.758,8.207153,5,"80371.29,90829.04,89456.34,92926.72,90955.17","10972.31,10683.99,10846.62,10798.32,10863.53","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (title random))(company_name )(link_type )(movie_companies )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 16, 12, 20, 12, 14]",82363.6402,121980.2958,6387.6412,133.08,75975.999,12.894218,5,"26862.70,42567.08,22548.11,300000.00,19840.30","6248.71,6384.77,6542.10,6263.85,6498.77","complete,complete,complete,error,complete","complete,complete,complete,complete,complete",True,False
(kind_type (kind random))(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 5, 12, 10, 12, 14, 12, 8, 12, 2, 12, 17, 12, 7, 12, 1, 12, 10, 12, 15, 12, 6, 12, 19]",93943.8557,9373.382,18947.4418,274.8307,74996.4139,4.958129,5,"107481.80,92474.63,94119.50,94567.53,81075.81","18591.54,18948.03,19353.38,18853.60,18990.65","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(movie_companies )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 20, 1, 0]",76279.7984,125191.5656,1489.9351,9.6107,74789.8633,51.196727,5,"300000.00,30138.15,17317.03,17457.67,16486.15","1494.37,1502.37,1476.18,1487.70,1489.05","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (title random))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 7, 12, 20, 12, 17, 12, 6, 12, 1, 12, 10, 12, 3, 12, 19, 12, 17, 12, 13, 12, 4, 12, 6, 12, 14, 12, 2, 12, 9]",78215.8582,124141.4801,5449.8013,80.4931,72766.0569,14.352057,5,"17696.75,18000.62,300000.00,22111.76,33270.16","5397.69,5463.91,5376.93,5429.26,5581.22","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 9, 14, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 14, 9, 9, 14, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",71934.8933,127643.6092,245.8393,10.8842,71689.054,292.609458,5,"10243.10,25605.03,12314.76,11511.58,300000.00","257.70,250.81,232.48,251.98,236.22","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(cast_info (nr_order = mode))(company_type (kind random))(movie_keyword )(movie_link )(role_type )(title ),"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 1, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 20, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]",75147.6036,3984.2959,5351.6796,110.3743,69795.924,14.041873,5,"77064.04,76138.40,68071.91,77444.63,77019.04","5305.54,5345.86,5380.94,5513.78,5212.27","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = mode))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[5, 5, 5, 5]",69800.8963,128685.8825,434.0415,5.8169,69366.8547,160.816163,5,"11547.66,12465.60,12619.74,12371.48,300000.00","442.28,428.90,436.84,428.28,433.91","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0147))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 1, 20, 5]",69219.3654,129011.6128,183.5602,4.0837,69035.8052,377.093579,5,"11512.48,300000.00,12222.24,11744.70,10617.41","188.88,184.53,177.67,182.21,184.52","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0489))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[9, 4, 9, 0]",70750.0269,128161.8757,2497.0199,66.9383,68253.007,28.333786,5,"15434.04,13941.64,12012.46,12362.00,300000.00","2614.19,2472.93,2451.10,2487.48,2459.40","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0196))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",70651.3333,128218.8503,2957.3375,406.9583,67693.9958,23.890183,5,"14782.99,11643.93,300000.00,11946.34,14883.41","3683.64,2765.78,2821.76,2767.72,2747.78","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0264))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",70201.0224,128504.9836,2766.0316,22.1622,67434.9908,25.379689,5,"11910.23,12291.48,300000.00,8770.52,18032.89","2744.27,2777.38,2745.72,2796.85,2765.94","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0268))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",70434.2011,128343.3739,3144.1865,465.903,67290.0146,22.401407,5,"12191.87,11639.86,12261.15,16078.12,300000.00","3651.64,2846.70,3655.87,2778.18,2788.55","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0267))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69982.5244,128583.904,2793.2441,53.7414,67189.2804,25.05421,5,"12840.98,12372.93,300000.00,12517.76,12180.96","2743.48,2881.80,2780.77,2760.95,2799.23","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0679))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69744.7642,128718.0948,2793.7788,55.1286,66950.9853,24.964311,5,"11929.19,300000.00,11433.43,13143.32,12217.88","2744.78,2798.51,2770.46,2886.33,2768.81","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0459))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69681.2141,128752.6583,2778.0586,34.0773,66903.1555,25.082702,5,"12687.04,11703.62,300000.00,11865.59,12149.83","2749.00,2811.23,2744.82,2768.42,2816.82","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0498))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69663.0534,128762.7247,2979.4586,376.8265,66683.5948,23.381112,5,"12619.30,300000.00,11666.10,12003.30,12026.57","3651.70,2822.20,2793.65,2851.34,2778.41","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0247))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69455.0034,128878.7369,2793.4033,47.607,66661.6001,24.863937,5,"11818.22,11640.68,300000.00,12156.35,11659.77","2855.53,2746.93,2832.60,2764.23,2767.73","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0618))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69599.8672,128797.7477,2943.4525,415.586,66656.4147,23.645657,5,"12239.22,300000.00,11885.98,12142.78,11731.36","3686.48,2760.85,2743.36,2748.11,2778.46","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0426))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69495.8143,128855.8559,2941.183,398.1163,66554.6312,23.628524,5,"300000.00,12015.16,11870.21,11984.09,11609.61","2765.11,3653.04,2751.39,2754.77,2781.60","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0491))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69323.0174,128953.4463,2807.2971,42.0071,66515.7203,24.693866,5,"11986.81,12183.91,300000.00,10796.25,11648.11","2758.24,2767.94,2846.02,2845.73,2818.56","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0396))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69417.9712,128899.3611,2978.8922,474.3363,66439.079,23.303284,5,"11706.12,11670.25,300000.00,11680.51,12032.98","3826.90,2741.70,2779.45,2783.70,2762.72","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0421))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69215.7577,129021.5553,2777.4776,48.85,66438.28,24.920365,5,"8936.35,12706.02,12709.07,11727.35,300000.00","2753.68,2753.29,2864.78,2757.41,2758.23","complete,complete,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0627))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 20]",69768.54,128704.2156,3417.6184,74.414,66350.9217,20.414374,5,"300000.00,12715.66,11441.18,12518.93,12166.93","3392.83,3506.28,3369.57,3334.74,3484.67","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0398))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69299.7937,128979.4207,2966.1889,388.5398,66333.6048,23.363244,5,"11732.29,11674.06,300000.00,8853.16,14239.46","2778.71,2760.55,3656.37,2872.19,2763.13","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0149))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69154.6367,129055.2598,2994.1889,387.698,66160.4478,23.096284,5,"9064.65,300000.00,11670.64,11798.02,13239.87","2741.52,3669.79,2808.40,2971.35,2779.88","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0497))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69078.2547,129098.1349,2998.2411,371.6598,66080.0136,23.039593,5,"12841.04,11537.43,300000.00,12174.71,8838.09","2948.21,2782.89,2746.79,3648.36,2864.96","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0394))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",69129.8943,129072.1273,3119.829,487.9486,66010.0652,22.158232,5,"300000.00,11694.91,10561.57,14066.51,9326.49","3666.90,3641.53,2771.05,2753.36,2766.31","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0278))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",68911.4686,129185.9891,2980.7424,384.6791,65930.7261,23.118894,5,"11574.45,11647.31,300000.00,11851.09,9484.50","3663.09,2754.37,2780.73,2886.70,2818.82","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0429))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",68874.4671,129209.93,2961.3124,428.5954,65913.1547,23.258089,5,"300000.00,11480.57,11948.24,8827.75,12115.78","2754.82,3727.29,2771.72,2799.37,2753.37","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0193))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 0]",68431.5016,129459.7308,2836.3906,79.4758,65595.111,24.126262,5,"9284.21,11945.16,12161.53,300000.00,8766.60","2773.51,2966.63,2810.53,2778.09,2853.19","complete,complete,complete,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[20, 20, 5, 0]",67220.2619,130230.9348,3388.2944,51.0977,63831.9675,19.838968,5,"11862.69,11814.15,59.09,300000.00,12365.38","3404.47,3448.82,3316.70,3359.47,3412.02","complete,complete,complete,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0486))(company_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[20, 0]",64685.7816,131672.305,3666.1443,72.393,61019.6373,17.64409,5,"300000.00,61.34,11629.86,59.76,11677.95","3780.52,3655.62,3680.51,3624.00,3590.07","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(kind_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[7, 1, 1, 0]",61880.1557,133170.3595,1703.1688,22.2205,60176.9869,36.332369,5,"95.16,94.66,300000.00,93.94,9117.02","1684.48,1705.11,1682.23,1706.63,1737.40","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0397))(company_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[20, 0]",62501.2515,132872.0898,3658.5322,68.8353,58842.7193,17.083696,5,"300000.00,58.36,59.12,12328.45,60.33","3772.80,3645.97,3592.50,3621.44,3659.96","error,complete,complete,complete,complete","complete,complete,complete,complete,complete",True,False
