query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_title (season_nr = last))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 0]",300000.0,0.0,67.3134,1.9955,299932.6866,4456.765916,5,"300000.00,300000.00,300000.00,300000.00,300000.00","69.98,66.18,68.91,65.90,65.59","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (episode_nr = last))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 16, 12, 20, 12, 16, 12, 6, 12, 20, 12, 6, 12, 6, 12, 3, 12, 17, 12, 6, 12, 3, 12, 6, 12, 14, 12, 3, 12, 19]",300000.0,0.0,112.5271,6.3537,299887.4729,2666.024822,5,"300000.00,300000.00,300000.00,300000.00,300000.00","112.78,116.14,101.61,114.60,117.51","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(complete_cast )(link_type )(movie_companies )(movie_info )(movie_info_idx )(role_type )(title ),"[1, 1, 12, 1, 1, 14, 14, 14, 14, 0, 14, 1, 14, 12, 12, 12, 12, 12, 12, 12, 12, 9, 9, 0, 4, 4, 4, 9, 4, 10, 10, 10, 10, 20, 14, 7, 11, 0, 10, 11, 4, 11, 11, 0]",300000.0,0.0,128.9304,2.2834,299871.0696,2326.837203,5,"300000.00,300000.00,300000.00,300000.00,300000.00","129.46,132.32,129.24,126.95,126.68","error,complete,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(complete_cast )(keyword )(link_type )(movie_info )(movie_info_idx )(role_type )(title ),"[10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",195143.2231,58761.1094,96.5094,2.6799,195046.7137,2022.012416,5,"172311.86,300000.00,170825.42,161883.89,170694.95","95.22,96.72,94.89,101.08,94.64","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 16]",68843.05,129229.1341,69.1226,9.3584,68773.9274,995.955729,5,"8504.09,11856.67,300000.00,12134.14,11720.35","65.77,61.15,84.84,70.00,63.85","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[20, 8, 20, 0]",86306.1314,119494.7942,149.9198,9.2161,86156.2116,575.682023,5,"37913.45,30664.57,30975.24,300000.00,31977.40","156.64,146.13,145.35,162.09,139.38","complete,complete,complete,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(movie_companies )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 7, 20, 4, 20, 13, 20, 8]",74855.8257,125881.9664,167.5626,14.9823,74688.2631,446.73342,5,"16917.20,300000.00,22565.94,16605.12,18190.87","153.08,182.41,175.57,149.81,176.94","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0147))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 1, 20, 5]",69219.3654,129011.6128,183.5602,4.0837,69035.8052,377.093579,5,"11512.48,300000.00,12222.24,11744.70,10617.41","188.88,184.53,177.67,182.21,184.52","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(company_type (kind most_popular))(link_type )(movie_info )(movie_info_idx )(title ),"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 17, 20, 20, 17, 7, 17, 17, 20, 20, 17, 17, 20, 20, 17, 7, 17, 20, 20, 20, 20, 17, 20, 20, 20, 20, 17, 20, 20, 17, 20, 7, 17, 20, 20, 7, 7, 20, 20, 20, 20, 20, 20, 20, 20, 17, 20, 20, 17, 20, 20, 20, 20, 7, 20, 17, 20, 20, 20, 17, 17, 20, 17, 20, 20, 20, 20, 20, 20, 20, 20, 17, 17, 20, 20, 20]",11677.0281,1586.7915,51.5181,52.1733,11625.5101,226.658931,5,"13410.34,13414.63,10521.59,10392.33,10646.25","108.89,11.90,17.11,108.35,11.35","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0498))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[20, 8]",33805.1826,1437.3686,154.9574,5.5366,33650.2252,218.157925,5,"34287.86,32013.49,34424.11,32701.12,35599.33","157.13,145.28,159.24,157.15,156.00","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0649))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[20, 8]",32843.054,1300.1045,151.68,6.9102,32691.3739,216.528515,5,"32783.36,33238.24,32271.51,31193.76,34728.40","162.72,146.29,149.78,153.64,145.97","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(char_name (surname_pcode most_popular))(company_name )(movie_info_idx )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9, 12, 0]",25013.5777,55715.8025,116.3899,3.8078,24897.1878,214.911849,5,"116.87,76.65,115.67,124681.03,77.67","120.86,117.35,110.93,114.50,118.32","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(complete_cast )(movie_companies )(movie_info )(movie_keyword )(movie_link )(title ),"[20, 0]",16932.0343,619.6426,90.2893,3.9818,16841.745,187.530893,5,"16735.39,16659.63,16847.00,16414.64,18003.50","84.59,87.96,93.15,94.28,91.46","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = mode))(company_type )(movie_info )(movie_keyword )(movie_link )(role_type )(title ),"[20, 14]",11328.3366,1525.5166,61.816,5.935,11266.5206,183.258899,5,"12287.49,11697.23,8625.40,12045.22,11986.34","56.71,59.49,70.98,57.49,64.41","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (title random))(company_type )(movie_info )(movie_keyword )(movie_link )(person_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 10, 12, 6, 12, 6, 12, 11, 20, 12, 20, 17, 20, 5, 20, 4, 20, 1, 20, 10, 20, 5, 20, 15]",20132.6939,3472.1963,116.4532,6.7238,20016.2406,172.882245,5,"21539.74,17856.43,17727.91,17901.82,25637.57","112.70,112.60,117.95,111.41,127.60","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0148))(company_type )(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[20, 7, 20, 0, 20, 5, 20, 5, 20, 5, 20, 1, 20, 18, 20, 10]",32580.9775,901.3368,240.7058,28.7195,32340.2717,135.356,5,"33803.88,32764.18,32533.27,31271.03,32532.52","271.29,224.09,216.25,219.17,272.73","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = last))(company_type )(keyword )(movie_info )(movie_link )(name )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 13, 12, 18, 12, 6, 12, 0, 12, 15, 12, 9]",16840.4174,1449.1902,132.2727,3.1282,16708.1447,127.315923,5,"16626.91,16563.69,19335.32,15987.28,15688.88","128.45,135.29,129.37,133.85,134.40","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(company_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[20, 14, 20, 0]",9486.1641,5270.649,79.2723,5.4684,9406.8918,119.665604,5,"11960.34,12035.55,11676.39,61.99,11696.55","84.33,71.87,84.28,75.62,80.26","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(company_name )(complete_cast )(keyword )(kind_type )(movie_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 13, 12, 4, 12, 6, 12, 8, 12, 9, 1, 17]",228676.068,100598.7595,1923.6526,29.817,226752.4154,118.875972,5,"300000.00,300000.00,155801.51,300000.00,87578.83","1952.91,1877.20,1939.03,1912.22,1936.90","error,error,complete,error,complete","complete,complete,complete,complete,complete",True,False
(company_name (name_pcode_sf most_popular))(info_type )(keyword )(kind_type )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2244.2689,44.3116,21.5438,1.5775,2222.7251,104.172432,5,"2298.18,2187.49,2260.13,2211.43,2264.12","20.58,22.27,23.17,19.28,22.42","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name_pcode_sf most_popular))(keyword )(kind_type )(movie_info )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2264.0337,32.6981,22.2435,0.8242,2241.7902,101.783841,5,"2227.26,2240.94,2262.57,2278.76,2310.64","20.80,22.36,22.65,22.59,22.82","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name_pcode_sf most_popular))(complete_cast )(info_type )(keyword )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2144.159,66.1852,21.9237,0.5187,2122.2353,97.800817,5,"2083.33,2140.32,2116.99,2256.60,2123.55","21.83,21.53,22.66,21.39,22.21","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(info_type )(link_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2396.9714,81.6318,26.1259,2.1251,2370.8455,91.746914,5,"2323.36,2389.55,2475.73,2311.58,2484.64","24.02,27.31,25.73,29.15,24.42","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name_pcode_sf most_popular))(movie_info )(movie_keyword )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1805.7853,49.8756,20.1065,1.3898,1785.6788,89.810992,5,"1758.57,1860.73,1846.60,1811.98,1751.04","19.21,19.13,21.73,21.52,18.95","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_type (kind most_popular))(complete_cast )(keyword )(movie_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",110246.7178,100528.706,1292.6019,15.3365,108954.1159,85.290542,5,"182340.50,129.83,185458.89,183173.92,130.45","1274.14,1286.28,1303.69,1312.55,1286.34","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name_pcode_sf most_popular))(info_type )(movie_keyword )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 6, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1769.1097,16.1355,21.2512,0.316,1747.8585,83.247328,5,"1765.51,1780.33,1762.59,1747.83,1789.29","21.18,21.28,21.11,21.77,20.92","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(info_type )(title ),"[3, 7, 12, 20, 12, 2, 12, 6, 12, 1, 12, 10, 12, 3, 12, 17, 12, 15, 12, 18, 12, 13, 12, 14, 12, 3, 12, 5, 12, 9]",2119.5881,364.6928,25.8763,10.0282,2093.7119,81.912386,5,"2221.28,2245.09,1476.85,2384.18,2270.55","43.79,20.60,22.06,21.26,21.67","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = median))(company_name (name_pcode_sf random))(complete_cast )(keyword )(link_type )(movie_info )(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",44554.2633,5037.5213,566.9286,9.0651,43987.3347,78.588847,5,"49589.24,40659.39,50527.50,41052.57,40942.61","570.39,558.00,556.84,572.05,577.37","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(movie_info )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1827.5883,430.785,25.3934,10.9857,1802.1949,71.971024,5,"1527.26,1516.66,1495.72,2282.54,2315.76","44.77,18.84,22.40,22.35,18.61","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = last))(company_type )(complete_cast )(info_type )(keyword )(movie_info )(movie_link )(person_info )(role_type )(title ),"[20, 7, 12, 20, 12, 2, 12, 1, 12, 10, 12, 6, 12, 3, 12, 17, 12, 17, 12, 18, 12, 13, 12, 6, 12, 0, 12, 15, 12, 5]",300000.0,0.0,4250.2398,2016.3743,295749.7602,70.584253,5,"300000.00,300000.00,300000.00,300000.00,300000.00","3283.00,3387.80,3313.13,3411.25,7856.02","error,error,error,error,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = 0298))(company_type )(movie_info )(movie_info_idx )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",92461.2582,116023.7252,1431.5491,159.5372,91029.7091,64.588254,5,"39700.35,300000.00,41377.13,42062.86,39165.95","1148.61,1473.12,1506.95,1497.70,1531.37","complete,error,complete,complete,complete","complete,complete,complete,complete,complete",True,False
(company_name )(info_type )(kind_type )(movie_link )(name (surname_pcode most_popular))(title (series_years random)),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",10343.5919,93.2153,174.4437,2.8952,10169.1483,59.294738,5,"10487.98,10325.32,10350.96,10324.86,10228.84","175.16,171.42,176.79,171.39,177.45","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(keyword )(kind_type )(link_type )(movie_info )(person_info (info random)(note most_popular))(role_type )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1347.2482,80.5942,22.7978,1.1159,1324.4503,59.095475,5,"1297.37,1468.53,1277.61,1390.71,1302.02","20.95,23.30,23.34,23.79,22.61","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title )(company_name (name_pcode_sf most_popular))(kind_type )(movie_info )(name )(person_info )(title ),"[20, 7, 20, 4, 20, 13, 20, 8]",1330.4263,16.24,22.9629,1.3265,1307.4634,57.938069,5,"1326.50,1317.60,1358.82,1324.00,1325.21","21.74,24.67,23.55,23.34,21.51","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(company_name (name_pcode_sf most_popular))(info_type )(kind_type )(movie_link )(name )(title ),"[20, 7, 12, 20, 12, 16, 12, 5, 12, 1, 12, 10, 12, 3, 12, 2, 12, 17, 12, 13, 12, 4, 12, 6, 12, 0, 12, 15, 12, 9]",1322.3974,21.465,23.0294,0.9809,1299.368,57.422081,5,"1297.53,1341.93,1316.65,1347.29,1308.59","21.36,23.23,23.65,23.07,23.83","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (title random))(info_type )(link_type )(movie_info )(name )(title ),"[20, 7, 12, 20, 12, 16, 12, 4, 12, 1, 12, 6, 12, 11, 12, 15, 12, 2, 12, 17, 12, 19, 12, 4, 12, 6, 12, 17, 12, 19]",1791.0342,26.4681,31.3057,2.4528,1759.7285,57.21113,5,"1825.58,1783.78,1758.86,1809.42,1777.53","34.18,33.64,28.97,29.25,30.49","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = last))(company_type )(keyword )(kind_type )(movie_info )(person_info )(title ),"[20, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 0]",3835.6213,990.5305,69.6812,1.9685,3765.9401,55.04527,5,"3255.12,5577.42,3326.98,3306.71,3711.87","69.16,72.10,66.84,70.82,69.49","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title )(char_name (surname_pcode most_popular))(kind_type )(title ),"[20, 7, 20, 4, 20, 13, 20, 8]",5730.2059,644.1275,116.8409,7.5808,5613.3649,49.042794,5,"5953.64,4613.67,5912.84,5888.84,6282.03","116.39,113.11,129.27,109.02,116.42","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = 0698))(company_type (kind random))(link_type )(movie_info )(movie_info_idx )(movie_keyword )(role_type )(title ),"[15, 7]",2458.2116,5213.724,55.9499,0.4539,2402.2616,43.935921,5,"124.85,127.65,125.77,127.98,11784.80","55.62,56.21,56.29,56.31,55.31","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name (name_pcode_sf most_popular))(movie_info )(movie_link )(person_info )(title ),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2370.0954,118.4758,57.0248,47.0089,2313.0706,41.562528,5,"2305.84,2304.57,2578.09,2357.46,2304.52","22.43,22.40,108.62,108.42,23.25","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(company_type )(complete_cast )(info_type )(link_type )(movie_info )(role_type )(title ),"[14, 7, 14, 9, 14, 20, 14, 11]",300000.0,0.0,7727.9043,83.7615,292272.0957,38.820356,5,"300000.00,300000.00,300000.00,300000.00,300000.00","7706.48,7650.71,7805.05,7826.57,7650.71","complete,error,complete,complete,error","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = last))(company_type )(movie_info )(movie_info_idx )(movie_keyword )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",1172.9383,30.1174,30.6524,2.0064,1142.2859,38.265755,5,"1128.36,1199.72,1186.00,1156.05,1194.57","32.46,27.68,31.78,31.84,29.51","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_title (season_nr = first))(company_type )(kind_type )(movie_info )(movie_keyword )(movie_link )(name )(title ),"[7, 1, 1, 0]",61880.1557,133170.3595,1703.1688,22.2205,60176.9869,36.332369,5,"95.16,94.66,300000.00,93.94,9117.02","1684.48,1705.11,1682.23,1706.63,1737.40","complete,complete,error,complete,complete","complete,complete,complete,complete,complete",True,False
(aka_title (season_nr = first))(company_type )(movie_info )(movie_info_idx )(movie_link )(name )(person_info )(role_type )(title ),"[20, 0]",50859.8627,20871.4144,1488.4993,9.705,49371.3634,34.16855,5,"41392.12,87950.09,40027.84,45534.53,39394.74","1492.58,1498.64,1475.66,1481.05,1494.57","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name (name most_popular))(info_type )(title (imdb_index random)),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",2909.808,74.5798,86.4373,1.3986,2823.3707,33.66381,5,"2827.57,3009.91,2892.84,2960.23,2858.48","86.01,87.41,87.30,87.31,84.16","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(company_name (name_pcode_sf most_popular))(info_type )(keyword )(kind_type )(movie_info_idx (info random)(note random))(movie_link )(person_info )(role_type )(title (season_nr > 0537)),"[20, 7, 12, 20, 12, 16, 12, 1, 12, 10, 12, 14, 12, 11, 12, 2, 12, 17, 12, 4, 12, 13, 12, 6, 12, 0, 12, 15, 12, 9]",1436.9488,89.5375,46.728,2.4995,1390.2208,30.75135,5,"1418.37,1593.88,1380.11,1379.71,1412.68","46.64,48.04,49.00,47.43,42.53","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
