query,generated_plan,default_plan_mean_ms,default_plan_std_ms,generated_plan_mean_ms,generated_plan_std_ms,absolute_advantage_ms,relative_advantage,n_runs,default_plan_all_runtimes_ms,generated_plan_all_runtimes_ms,default_statuses,generated_statuses,default_has_error_or_oom,default_has_timeout
(aka_name )(char_name )(company_name )(complete_cast )(link_type )(person_info )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 6, 1, 13, 1, 8, 1, 11]",127385.7707,2757.2221,2649.606,44.9253,124736.1647,48.07725,5,"124642.87,126395.82,126125.01,127901.67,131863.48","2705.04,2581.90,2656.20,2639.09,2665.80","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(char_name (imdb_index random))(company_type )(keyword )(kind_type )(movie_link )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 11, 1, 10, 1, 6, 1, 5, 1, 13, 1, 15, 1, 2, 1, 17, 1, 6, 1, 11]",63975.7019,1865.8071,1431.2984,41.6261,62544.4035,44.697667,5,"62147.16,63546.31,65761.76,66095.21,62328.07","1418.32,1381.77,1479.00,1407.68,1469.72","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(keyword )(kind_type )(movie_link )(person_info )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 5, 1, 6, 5, 1, 3, 1, 19, 1, 15, 1, 9, 8, 13, 3, 8]",254305.3826,32558.4231,6019.4949,375.2869,248285.8877,42.246964,5,"225930.20,221242.59,254115.43,270238.69,300000.00","5485.49,6541.94,6019.07,5974.59,6076.38","complete,complete,complete,complete,timeout","complete,complete,complete,complete,complete",False,True
(aka_name )(keyword )(kind_type )(movie_link )(person_info )(role_type )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 1, 5, 1, 6, 1, 2, 1, 3, 1, 15, 1, 9, 8, 1, 3, 8]",240552.891,18993.4791,6037.1969,23.1002,234515.6941,39.845129,5,"223973.29,221974.76,244234.43,243760.03,268821.95","6067.30,6026.39,6037.45,6005.97,6048.87","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(company_name )(complete_cast )(link_type )(person_info )(title ),"[1, 2, 1, 7, 1, 12, 1, 6, 1, 5, 1, 6, 1, 5, 1, 3, 1, 2, 1, 19, 1, 15, 8, 9, 3, 8]",161220.0512,14101.6748,4130.0165,130.5369,157090.0348,39.036176,5,"144914.82,153096.94,163341.36,162119.76,182627.38","4197.05,4215.56,4114.43,4214.37,3908.68","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(cast_info )(keyword )(kind_type )(movie_link )(name )(person_info )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 5, 1, 6, 5, 1, 3, 1, 2, 1, 15, 1, 9, 8, 13, 3, 8]",234515.028,21109.4719,6022.9859,51.3512,228492.0421,38.936672,5,"234993.89,203809.78,243535.18,228790.52,261445.77","6037.70,5978.63,5995.54,5996.84,6106.22","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
(aka_name )(char_name )(complete_cast )(keyword )(kind_type )(link_type )(person_info )(title ),"[1, 2, 1, 7, 1, 20, 1, 12, 1, 6, 1, 5, 1, 6, 1, 2, 1, 3, 1, 15, 1, 9, 8, 13, 3, 8]",300000.0,0.0,7808.6697,264.9543,292191.3303,38.418836,5,"300000.00,300000.00,300000.00,300000.00,300000.00","7596.70,7691.38,7770.77,7715.41,8269.08","error,timeout,timeout,timeout,timeout","complete,complete,complete,complete,complete",True,True
(aka_name )(complete_cast )(keyword )(link_type )(person_info )(title ),"[1, 7, 1, 20, 1, 12, 1, 12, 1, 15, 1, 10, 1, 4, 1, 6, 1, 5, 1, 6, 1, 5, 1, 15, 1, 9, 1, 5, 1, 6, 1, 13, 1, 3, 1, 13, 1, 8, 1, 11, 1, 13, 1, 3, 1, 3, 1, 13, 1, 11, 17, 1, 11, 1, 17, 11, 1, 1]",300000.0,0.0,7889.538,257.0667,292110.462,38.02504,5,"300000.00,300000.00,300000.00,300000.00,300000.00","8206.19,7679.02,7711.11,7719.17,8132.20","error,error,timeout,timeout,timeout","complete,complete,complete,complete,complete",True,True
(aka_name )(complete_cast )(keyword )(kind_type )(link_type )(name )(person_info )(role_type )(title ),"[1, 7, 1, 20, 1, 12, 1, 10, 1, 3, 1, 12, 1, 6, 1, 5, 1, 15, 1, 5, 1, 9, 1, 13, 1, 17, 1, 11]",300000.0,0.0,7952.3922,489.396,292047.6078,37.724497,5,"300000.00,300000.00,300000.00,300000.00,300000.00","8138.27,8178.26,8058.67,8296.29,7090.47","error,error,error,error,error","complete,complete,complete,complete,complete",True,False
(aka_name )(char_name )(company_type )(link_type )(name )(person_info )(title ),"[1, 14, 1, 20, 1, 12, 1, 10, 1, 11, 1, 5, 1, 6, 1, 5, 1, 15, 1, 6, 1, 9, 1, 13, 1, 17, 1, 11]",49458.6254,2085.1186,1455.5111,47.4653,48003.1142,33.980245,5,"46696.33,52300.78,50490.39,48916.62,48889.00","1391.04,1491.33,1420.42,1499.81,1474.95","complete,complete,complete,complete,complete","complete,complete,complete,complete,complete",False,False
