task,default_time,optimized_time
JOB_10A,0.0962,0.0744
JOB_10B,0.068,0.0421
JOB_10C,0.2002,0.1193
JOB_11A,0.0284,0.0187
JOB_11B,0.0327,0.0182
JOB_11C,0.1032,0.0235
JOB_11D,0.2797,0.0261
JOB_12A,0.0489,0.0451
JOB_12B,0.0635,0.0405
JOB_12C,0.0655,0.0561
JOB_13A,0.0634,0.0634
JOB_13B,0.0763,0.0449
JOB_13C,0.069,0.0346
JOB_13D,0.144,0.093
JOB_14A,0.0724,0.0485
JOB_14B,0.0525,0.0398
JOB_14C,0.1086,0.0619
JOB_15A,0.0877,0.0877
JOB_15B,0.1526,0.0934
JOB_15C,0.1997,0.0873
JOB_15D,0.1342,0.0718
JOB_16A,0.0937,0.0937
JOB_16B,0.3058,0.2299
JOB_16C,0.1475,0.1475
JOB_16D,0.131,0.131
JOB_17A,0.1586,0.1166
JOB_17B,0.1852,0.0842
JOB_17C,0.1816,0.0711
JOB_17D,0.1974,0.0964
JOB_17E,0.1735,0.1624
JOB_17F,0.2444,0.1608
JOB_18A,0.2136,0.1362
JOB_18B,0.1688,0.114
JOB_18C,0.1921,0.1665
JOB_19A,0.2276,0.1774
JOB_19B,0.2123,0.0773
JOB_19C,0.2355,0.179
JOB_19D,0.2134,0.1475
JOB_1A,0.0264,0.0264
JOB_1B,0.0215,0.0157
JOB_1C,0.0183,0.0164
JOB_1D,0.0206,0.0178
JOB_20A,0.2048,0.1021
JOB_20B,0.169,0.0674
JOB_20C,0.1727,0.1269
JOB_21A,0.0548,0.0421
JOB_21B,0.0367,0.026
JOB_21C,0.0541,0.041
JOB_22A,0.1161,0.0813
JOB_22B,0.0926,0.0748
JOB_22C,0.1965,0.1014
JOB_22D,0.2647,0.1121
JOB_23A,0.1622,0.0615
JOB_23B,0.1347,0.0572
JOB_23C,0.175,0.0872
JOB_24A,0.1823,0.1651
JOB_24B,0.1966,0.135
JOB_25A,0.2795,0.181
JOB_25B,5.0,0.1275
JOB_25C,0.2639,0.1965
JOB_26A,0.1692,0.1368
JOB_26B,0.1317,0.1129
JOB_26C,0.1836,0.142
JOB_27A,0.0552,0.0403
JOB_27B,0.0353,0.0238
JOB_27C,0.0551,0.0418
JOB_28A,0.2168,0.1131
JOB_28B,0.166,0.0756
JOB_28C,0.2105,0.092
JOB_29A,0.2053,0.0869
JOB_29B,0.1854,0.1151
JOB_29C,0.3481,0.1773
JOB_2A,0.0541,0.0408
JOB_2B,0.0438,0.036
JOB_2C,0.0317,0.0128
JOB_2D,0.0501,0.0404
JOB_30A,0.2121,0.1809
JOB_30B,0.1713,0.1415
JOB_30C,0.259,0.1938
JOB_31A,0.1971,0.1631
JOB_31B,0.1337,0.1157
JOB_31C,0.2239,0.1842
JOB_32A,0.0177,0.0093
JOB_32B,0.0392,0.0292
JOB_33A,0.1045,0.0542
JOB_33B,0.0536,0.0377
JOB_33C,0.3008,0.0625
JOB_3A,0.1988,0.1391
JOB_3B,0.1368,0.1083
JOB_3C,0.1762,0.1625
JOB_4A,0.0974,0.0353
JOB_4B,0.0329,0.0236
JOB_4C,0.1204,0.0427
JOB_5A,0.2655,0.1196
JOB_5B,0.1352,0.1063
JOB_5C,0.188,0.1479
JOB_6A,0.0982,0.0446
JOB_6B,0.0549,0.0462
JOB_6C,0.0876,0.0419
JOB_6D,0.0867,0.059
JOB_6E,0.1086,0.0473
JOB_6F,0.1826,0.1722
JOB_7A,0.0746,0.0714
JOB_7B,0.044,0.0364
JOB_7C,0.7575,0.228
JOB_8A,0.1035,0.0827
JOB_8B,0.0842,0.07
JOB_8C,0.2417,0.1605
JOB_8D,0.1334,0.086
JOB_9A,0.1523,0.1311
JOB_9B,0.1125,0.0997
JOB_9C,0.1394,0.1228
JOB_9D,0.1947,0.1558
