task,default_time,optimized_time
JOB_COMPLEX_1,0.05,0.0396
JOB_COMPLEX_10,0.2133,0.131
JOB_COMPLEX_11,0.1673,0.1251
JOB_COMPLEX_12,0.2388,0.1755
JOB_COMPLEX_13,0.1245,0.0722
JOB_COMPLEX_14,0.1235,0.0878
JOB_COMPLEX_15,0.1728,0.0757
JOB_COMPLEX_16,0.2016,0.1234
JOB_COMPLEX_17,0.1815,0.1355
JOB_COMPLEX_18,0.1366,0.078
JOB_COMPLEX_19,0.2752,0.2312
JOB_COMPLEX_2,0.0333,0.0212
JOB_COMPLEX_20,0.1953,0.0972
JOB_COMPLEX_21,0.2666,0.2134
JOB_COMPLEX_22,0.1048,0.0695
JOB_COMPLEX_23,0.2193,0.166
JOB_COMPLEX_24,0.2681,0.1936
JOB_COMPLEX_25,0.2236,0.174
JOB_COMPLEX_26,0.0693,0.0526
JOB_COMPLEX_27,0.1895,0.1249
JOB_COMPLEX_28,0.1123,0.061
JOB_COMPLEX_29,0.2685,0.1961
JOB_COMPLEX_3,0.0656,0.0427
JOB_COMPLEX_30,0.1846,0.1337
JOB_COMPLEX_4,0.0535,0.04
JOB_COMPLEX_5,0.1444,0.1119
JOB_COMPLEX_6,0.0378,0.0279
JOB_COMPLEX_7,0.0401,0.0297
JOB_COMPLEX_8,0.1915,0.1637
JOB_COMPLEX_9,0.3559,0.0865
