task,default_time,optimized_time
STACK_Q1-098,0.0834,0.0834
STACK_Q1-100,0.0818,0.0818
STACK_Q1-099,0.0753,0.0753
STACK_Q2-098,0.2618,0.2618
STACK_Q2-019,0.2057,0.1945
STACK_Q2-059,0.1714,0.1606
STACK_Q2-034,0.1743,0.1682
STACK_Q2-025,0.1531,0.1495
STACK_Q2-079,0.2029,0.2029
STACK_Q3-080,0.1832,0.1832
STACK_Q3-073,0.1754,0.1736
STACK_Q3-032,0.1811,0.1811
STACK_Q3-040,0.1879,0.1879
STACK_Q3-057,0.1692,0.1692
STACK_Q3-077,0.177,0.1692
STACK_Q7-038,0.4164,0.3061
STACK_Q7-029,0.2524,0.2167
STACK_Q7-089,0.1328,0.1328
STACK_Q7-004,0.2122,0.2122
STACK_Q7-062,0.2572,0.2475
STACK_Q7-009,0.2763,0.2646
STACK_Q10-034,0.5055,0.4753
STACK_Q11-118,0.0909,0.0817
STACK_Q11-652,0.0903,0.0722
STACK_Q11-108,0.0983,0.0753
STACK_Q11-819,0.0925,0.0689
STACK_Q11-534,0.0912,0.0779
STACK_Q11-398,0.5096,0.1225
STACK_Q12-0484,0.1065,0.1065
STACK_Q12-0691,0.0757,0.0724
STACK_Q12-0161,0.1181,0.1171
STACK_Q12-0371,0.0993,0.0983
STACK_Q12-0009,0.1167,0.1052
STACK_Q12-0564,0.078,0.0721
STACK_Q13-0315,0.2753,0.2753
STACK_Q13-0914,0.5144,0.5144
STACK_Q13-0557,0.3841,0.3841
STACK_Q13-0427,0.2722,0.2722
STACK_Q13-0267,0.6143,0.58
STACK_Q13-0601,0.4342,0.4342
STACK_Q14-000,0.4338,0.4066
STACK_Q14-022,0.4463,0.3024
STACK_Q14-044,0.4151,0.3993
STACK_Q14-082,0.2682,0.2626
STACK_Q14-038,0.3025,0.3025
STACK_Q14-132,0.4717,0.4717
STACK_Q15-739,0.3847,0.3847
STACK_Q15-617,0.1994,0.1994
STACK_Q15-265,0.3208,0.3208
STACK_Q15-182,0.2028,0.2028
STACK_Q15-545,0.2011,0.1985
